




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27ac.intersect.bed.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27ac.intersect.bed.genes_uniq.txt (2231)	H3K27ac.intersect.bed.genes_uniq.txt (expected)	H3K27ac.intersect.bed.genes_uniq.txt (over/under)	H3K27ac.intersect.bed.genes_uniq.txt (fold Enrichment)	H3K27ac.intersect.bed.genes_uniq.txt (raw P-value)	H3K27ac.intersect.bed.genes_uniq.txt (FDR)
regulation of mRNA catabolic process (GO:0061013)	252	57	27.30	+	2.09	2.62E-06	2.14E-04
proteasomal protein catabolic process (GO:0010498)	361	74	39.11	+	1.89	2.62E-06	2.12E-04
autophagy (GO:0006914)	309	66	33.47	+	1.97	2.53E-06	2.08E-04
process utilizing autophagic mechanism (GO:0061919)	309	66	33.47	+	1.97	2.53E-06	2.07E-04
phosphorus metabolic process (GO:0006793)	1835	269	198.78	+	1.35	2.48E-06	2.05E-04
lymphocyte mediated immunity (GO:0002449)	259	6	28.06	-	.21	2.03E-06	1.69E-04
regulation of cellular protein localization (GO:1903827)	561	104	60.77	+	1.71	1.53E-06	1.28E-04
mRNA metabolic process (GO:0016071)	697	123	75.50	+	1.63	1.44E-06	1.22E-04
positive regulation of cellular catabolic process (GO:0031331)	450	88	48.75	+	1.81	1.45E-06	1.22E-04
covalent chromatin modification (GO:0016569)	367	76	39.76	+	1.91	1.42E-06	1.22E-04
organic substance transport (GO:0071702)	2079	301	225.21	+	1.34	1.42E-06	1.22E-04
intracellular signal transduction (GO:0035556)	1677	251	181.66	+	1.38	1.43E-06	1.21E-04
regulation of mRNA metabolic process (GO:1903311)	376	77	40.73	+	1.89	1.33E-06	1.15E-04
defense response to bacterium (GO:0042742)	350	11	37.91	-	.29	1.07E-06	9.31E-05
protein modification by small protein conjugation (GO:0032446)	822	141	89.05	+	1.58	9.43E-07	8.23E-05
histone modification (GO:0016570)	363	76	39.32	+	1.93	8.42E-07	7.39E-05
nitrogen compound transport (GO:0071705)	1708	257	185.02	+	1.39	6.49E-07	5.73E-05
regulation of signal transduction by p53 class mediator (GO:1901796)	201	51	21.77	+	2.34	5.21E-07	4.62E-05
regulation of protein catabolic process (GO:0042176)	398	82	43.11	+	1.90	5.12E-07	4.57E-05
cell cycle checkpoint signaling (GO:0000075)	188	49	20.37	+	2.41	4.09E-07	3.67E-05
biological regulation (GO:0065007)	12568	1484	1361.46	+	1.09	3.58E-07	3.24E-05
protein-containing complex subunit organization (GO:0043933)	1605	247	173.87	+	1.42	2.50E-07	2.27E-05
negative regulation of RNA metabolic process (GO:0051253)	1408	222	152.52	+	1.46	2.37E-07	2.16E-05
localization (GO:0051179)	5831	750	631.66	+	1.19	2.32E-07	2.13E-05
regulation of intracellular signal transduction (GO:1902531)	1839	277	199.21	+	1.39	2.01E-07	1.86E-05
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	197	131.29	+	1.50	1.91E-07	1.78E-05
mitotic cell cycle checkpoint signaling (GO:0007093)	159	45	17.22	+	2.61	1.60E-07	1.50E-05
regulation of transcription by RNA polymerase II (GO:0006357)	2595	372	281.11	+	1.32	1.31E-07	1.24E-05
complement activation, classical pathway (GO:0006958)	161	0	17.44	-	 < 0.01	1.32E-07	1.24E-05
ncRNA transcription (GO:0098781)	94	33	10.18	+	3.24	1.21E-07	1.16E-05
posttranscriptional regulation of gene expression (GO:0010608)	581	112	62.94	+	1.78	1.11E-07	1.07E-05
nuclear division (GO:0000280)	339	76	36.72	+	2.07	9.58E-08	9.24E-06
regulation of cell communication (GO:0010646)	3509	484	380.12	+	1.27	8.92E-08	8.65E-06
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	0	17.87	-	 < 0.01	8.75E-08	8.54E-06
organonitrogen compound catabolic process (GO:1901565)	1091	183	118.19	+	1.55	8.08E-08	7.93E-06
regulation of signaling (GO:0023051)	3545	489	384.02	+	1.27	7.27E-08	7.18E-06
intracellular protein transport (GO:0006886)	781	141	84.60	+	1.67	6.36E-08	6.36E-06
regulation of protein modification process (GO:0031399)	1654	257	179.17	+	1.43	6.36E-08	6.32E-06
DNA repair (GO:0006281)	531	106	57.52	+	1.84	4.62E-08	4.65E-06
organic substance catabolic process (GO:1901575)	1769	273	191.63	+	1.42	4.17E-08	4.22E-06
snRNA transcription by RNA polymerase II (GO:0042795)	70	29	7.58	+	3.82	4.12E-08	4.21E-06
organelle fission (GO:0048285)	369	82	39.97	+	2.05	3.33E-08	3.42E-06
protein transport (GO:0015031)	1300	213	140.83	+	1.51	3.14E-08	3.25E-06
DNA metabolic process (GO:0006259)	777	142	84.17	+	1.69	3.10E-08	3.22E-06
protein localization to organelle (GO:0033365)	742	137	80.38	+	1.70	3.07E-08	3.21E-06
chromatin organization (GO:0006325)	703	132	76.15	+	1.73	2.64E-08	2.78E-06
regulation of biological process (GO:0050789)	11898	1425	1288.88	+	1.11	2.60E-08	2.75E-06
complement activation (GO:0006956)	177	0	19.17	-	 < 0.01	2.57E-08	2.74E-06
protein modification by small protein conjugation or removal (GO:0070647)	1035	178	112.12	+	1.59	2.29E-08	2.46E-06
negative regulation of cell cycle phase transition (GO:1901988)	294	71	31.85	+	2.23	1.96E-08	2.12E-06
snRNA transcription (GO:0009301)	71	30	7.69	+	3.90	1.70E-08	1.85E-06
positive regulation of catabolic process (GO:0009896)	519	106	56.22	+	1.89	1.55E-08	1.70E-06
transcription by RNA polymerase II (GO:0006366)	382	85	41.38	+	2.05	1.54E-08	1.70E-06
regulation of cellular process (GO:0050794)	11351	1370	1229.62	+	1.11	1.17E-08	1.31E-06
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	246	165.52	+	1.49	8.17E-09	9.16E-07
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	249	168.02	+	1.48	8.05E-09	9.09E-07
regulation of organelle organization (GO:0033043)	1208	205	130.86	+	1.57	4.79E-09	5.45E-07
biological_process (GO:0008150)	17851	2028	1933.75	+	1.05	4.55E-09	5.25E-07
Unclassified (UNCLASSIFIED)	2744	203	297.25	-	.68	4.55E-09	5.22E-07
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	249	166.82	+	1.49	4.45E-09	5.21E-07
regulation of signal transduction (GO:0009966)	3128	448	338.85	+	1.32	4.45E-09	5.17E-07
mitotic nuclear division (GO:0140014)	201	57	21.77	+	2.62	4.21E-09	4.97E-07
regulation of cellular response to stress (GO:0080135)	692	134	74.96	+	1.79	3.68E-09	4.38E-07
positive regulation of cellular protein metabolic process (GO:0032270)	1474	241	159.67	+	1.51	3.63E-09	4.35E-07
regulation of cell cycle phase transition (GO:1901987)	522	109	56.55	+	1.93	3.41E-09	4.12E-07
cellular component biogenesis (GO:0044085)	2754	404	298.33	+	1.35	2.65E-09	3.22E-07
negative regulation of cellular biosynthetic process (GO:0031327)	1610	260	174.41	+	1.49	2.06E-09	2.53E-07
cellular component assembly (GO:0022607)	2494	373	270.17	+	1.38	1.95E-09	2.41E-07
negative regulation of biosynthetic process (GO:0009890)	1643	265	177.98	+	1.49	1.72E-09	2.13E-07
regulation of mitotic cell cycle (GO:0007346)	588	120	63.70	+	1.88	1.62E-09	2.03E-07
establishment of protein localization (GO:0045184)	1397	233	151.33	+	1.54	1.51E-09	1.91E-07
ubiquitin-dependent protein catabolic process (GO:0006511)	545	114	59.04	+	1.93	1.38E-09	1.76E-07
negative regulation of cell cycle process (GO:0010948)	368	87	39.86	+	2.18	1.15E-09	1.47E-07
modification-dependent macromolecule catabolic process (GO:0043632)	563	117	60.99	+	1.92	1.10E-09	1.42E-07
positive regulation of RNA biosynthetic process (GO:1902680)	1629	265	176.47	+	1.50	9.01E-10	1.18E-07
modification-dependent protein catabolic process (GO:0019941)	552	116	59.80	+	1.94	7.62E-10	1.00E-07
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	265	176.36	+	1.50	7.09E-10	9.50E-08
positive regulation of transcription, DNA-templated (GO:0045893)	1628	265	176.36	+	1.50	7.09E-10	9.42E-08
establishment of localization in cell (GO:0051649)	2335	356	252.94	+	1.41	6.84E-10	9.24E-08
catabolic process (GO:0009056)	2096	326	227.05	+	1.44	5.48E-10	7.47E-08
negative regulation of mitotic cell cycle (GO:0045930)	294	76	31.85	+	2.39	4.53E-10	6.22E-08
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	126	65.97	+	1.91	3.93E-10	5.44E-08
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	67	26.00	+	2.58	3.40E-10	4.75E-08
protein catabolic process (GO:0030163)	697	139	75.50	+	1.84	3.23E-10	4.56E-08
humoral immune response (GO:0006959)	386	7	41.81	-	.17	2.85E-10	4.07E-08
regulation of cellular component organization (GO:0051128)	2390	366	258.90	+	1.41	2.20E-10	3.16E-08
macromolecule biosynthetic process (GO:0009059)	1680	275	181.99	+	1.51	2.04E-10	2.96E-08
positive regulation of biosynthetic process (GO:0009891)	2004	317	217.09	+	1.46	1.98E-10	2.89E-08
regulation of mitotic cell cycle phase transition (GO:1901990)	434	100	47.01	+	2.13	1.89E-10	2.79E-08
regulation of cell cycle process (GO:0010564)	792	154	85.80	+	1.79	1.83E-10	2.74E-08
positive regulation of cellular biosynthetic process (GO:0031328)	1969	313	213.30	+	1.47	1.81E-10	2.72E-08
cellular macromolecule biosynthetic process (GO:0034645)	1639	271	177.55	+	1.53	1.29E-10	1.96E-08
negative regulation of cell cycle (GO:0045786)	454	104	49.18	+	2.11	1.10E-10	1.68E-08
cellular protein catabolic process (GO:0044257)	644	133	69.76	+	1.91	1.06E-10	1.66E-08
cell division (GO:0051301)	498	111	53.95	+	2.06	1.07E-10	1.66E-08
RNA biosynthetic process (GO:0032774)	543	118	58.82	+	2.01	1.01E-10	1.59E-08
positive regulation of protein metabolic process (GO:0051247)	1562	262	169.21	+	1.55	6.84E-11	1.09E-08
nucleic acid-templated transcription (GO:0097659)	531	117	57.52	+	2.03	6.44E-11	1.04E-08
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	302	201.81	+	1.50	5.21E-11	8.49E-09
transcription, DNA-templated (GO:0006351)	530	117	57.41	+	2.04	4.30E-11	7.08E-09
gene expression (GO:0010467)	2117	336	229.33	+	1.47	3.84E-11	6.40E-09
intracellular transport (GO:0046907)	1464	251	158.59	+	1.58	2.56E-11	4.31E-09
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	264	168.23	+	1.57	1.56E-11	2.65E-09
cellular macromolecule catabolic process (GO:0044265)	925	178	100.20	+	1.78	1.36E-11	2.33E-09
chromosome organization (GO:0051276)	1064	198	115.26	+	1.72	1.20E-11	2.08E-09
negative regulation of biological process (GO:0048519)	5501	749	595.91	+	1.26	1.18E-11	2.07E-09
regulation of cellular protein metabolic process (GO:0032268)	2501	388	270.93	+	1.43	1.10E-11	1.95E-09
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	382	265.73	+	1.44	9.64E-12	1.73E-09
negative regulation of macromolecule metabolic process (GO:0010605)	2880	436	311.98	+	1.40	9.14E-12	1.66E-09
regulation of RNA biosynthetic process (GO:2001141)	3480	510	376.98	+	1.35	8.85E-12	1.63E-09
cellular catabolic process (GO:0044248)	1812	300	196.29	+	1.53	8.03E-12	1.49E-09
macromolecule catabolic process (GO:0009057)	1058	198	114.61	+	1.73	7.57E-12	1.43E-09
regulation of transcription, DNA-templated (GO:0006355)	3474	510	376.33	+	1.36	6.98E-12	1.35E-09
regulation of nucleic acid-templated transcription (GO:1903506)	3475	510	376.44	+	1.35	7.05E-12	1.34E-09
cellular process (GO:0009987)	15495	1821	1678.53	+	1.08	6.81E-12	1.33E-09
cellular response to DNA damage stimulus (GO:0006974)	793	160	85.90	+	1.86	6.54E-12	1.29E-09
regulation of cell cycle (GO:0051726)	1164	213	126.09	+	1.69	6.04E-12	1.21E-09
adaptive immune response (GO:0002250)	658	20	71.28	-	.28	4.57E-12	9.26E-10
RNA metabolic process (GO:0016070)	1582	271	171.37	+	1.58	4.13E-12	8.48E-10
positive regulation of RNA metabolic process (GO:0051254)	1773	298	192.06	+	1.55	2.23E-12	4.65E-10
mitotic cell cycle (GO:0000278)	750	156	81.25	+	1.92	1.86E-12	3.93E-10
negative regulation of metabolic process (GO:0009892)	3095	467	335.27	+	1.39	1.78E-12	3.80E-10
negative regulation of cellular metabolic process (GO:0031324)	2613	407	283.06	+	1.44	1.64E-12	3.55E-10
cellular protein localization (GO:0034613)	1470	258	159.24	+	1.62	1.48E-12	3.25E-10
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	321	210.26	+	1.53	1.42E-12	3.17E-10
cellular macromolecule localization (GO:0070727)	1480	260	160.32	+	1.62	1.26E-12	2.85E-10
cellular biosynthetic process (GO:0044249)	2715	421	294.11	+	1.43	1.13E-12	2.59E-10
aromatic compound biosynthetic process (GO:0019438)	1060	202	114.83	+	1.76	1.00E-12	2.34E-10
nucleobase-containing compound biosynthetic process (GO:0034654)	975	191	105.62	+	1.81	5.86E-13	1.38E-10
organic substance biosynthetic process (GO:1901576)	2803	434	303.64	+	1.43	5.49E-13	1.32E-10
biosynthetic process (GO:0009058)	2865	442	310.36	+	1.42	4.47E-13	1.09E-10
cellular localization (GO:0051641)	2985	458	323.36	+	1.42	3.36E-13	8.31E-11
regulation of gene expression (GO:0010468)	4922	693	533.19	+	1.30	3.17E-13	7.95E-11
negative regulation of cellular process (GO:0048523)	4902	691	531.02	+	1.30	2.94E-13	7.74E-11
cell cycle (GO:0007049)	1316	240	142.56	+	1.68	2.94E-13	7.62E-11
regulation of protein metabolic process (GO:0051246)	2665	418	288.69	+	1.45	2.95E-13	7.51E-11
organic cyclic compound biosynthetic process (GO:1901362)	1196	224	129.56	+	1.73	2.07E-13	5.55E-11
regulation of cellular catabolic process (GO:0031329)	899	182	97.39	+	1.87	1.70E-13	4.64E-11
positive regulation of biological process (GO:0048518)	6331	859	685.82	+	1.25	1.60E-13	4.43E-11
mitotic cell cycle process (GO:1903047)	675	148	73.12	+	2.02	1.56E-13	4.40E-11
cell cycle process (GO:0022402)	957	191	103.67	+	1.84	1.20E-13	3.45E-11
heterocycle biosynthetic process (GO:0018130)	1049	205	113.64	+	1.80	9.07E-14	2.65E-11
detection of stimulus (GO:0051606)	721	20	78.10	-	.26	4.66E-14	1.39E-11
protein localization (GO:0008104)	2063	345	223.48	+	1.54	4.45E-14	1.35E-11
regulation of macromolecule biosynthetic process (GO:0010556)	3999	589	433.20	+	1.36	3.34E-14	1.04E-11
macromolecule localization (GO:0033036)	2496	403	270.38	+	1.49	1.85E-14	5.86E-12
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	589	429.84	+	1.37	9.51E-15	3.07E-12
system process (GO:0003008)	2057	116	222.83	-	.52	4.90E-15	1.61E-12
regulation of biosynthetic process (GO:0009889)	4226	623	457.79	+	1.36	3.55E-15	1.20E-12
regulation of cellular biosynthetic process (GO:0031326)	4163	616	450.97	+	1.37	2.54E-15	8.74E-13
regulation of RNA metabolic process (GO:0051252)	3782	570	409.69	+	1.39	2.03E-15	7.15E-13
cellular protein modification process (GO:0006464)	2985	471	323.36	+	1.46	1.77E-15	6.51E-13
protein modification process (GO:0036211)	2985	471	323.36	+	1.46	1.77E-15	6.36E-13
cellular component organization or biogenesis (GO:0071840)	6006	836	650.61	+	1.28	1.55E-15	5.84E-13
cellular component organization (GO:0016043)	5783	811	626.46	+	1.29	9.53E-16	3.67E-13
nervous system process (GO:0050877)	1416	63	153.39	-	.41	4.43E-16	1.75E-13
protein metabolic process (GO:0019538)	4203	626	455.30	+	1.37	3.49E-16	1.42E-13
regulation of catabolic process (GO:0009894)	1066	217	115.48	+	1.88	3.13E-16	1.30E-13
macromolecule modification (GO:0043412)	3211	505	347.84	+	1.45	2.15E-16	9.20E-14
positive regulation of cellular process (GO:0048522)	5741	811	621.91	+	1.30	1.96E-16	8.62E-14
organonitrogen compound metabolic process (GO:1901564)	5246	758	568.28	+	1.33	2.85E-17	1.29E-14
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	614	438.62	+	1.40	2.69E-17	1.25E-14
detection of stimulus involved in sensory perception (GO:0050906)	557	6	60.34	-	.10	5.25E-18	2.51E-15
cellular aromatic compound metabolic process (GO:0006725)	2937	481	318.16	+	1.51	2.02E-18	9.95E-16
sensory perception (GO:0007600)	979	28	106.05	-	.26	1.89E-18	9.63E-16
cellular response to stress (GO:0033554)	1741	323	188.60	+	1.71	1.22E-18	6.43E-16
positive regulation of metabolic process (GO:0009893)	3820	594	413.81	+	1.44	9.68E-19	5.28E-16
organic cyclic compound metabolic process (GO:1901360)	3182	514	344.70	+	1.49	9.22E-19	5.20E-16
cellular nitrogen compound metabolic process (GO:0034641)	3395	542	367.77	+	1.47	6.17E-19	3.61E-16
positive regulation of macromolecule metabolic process (GO:0010604)	3522	560	381.53	+	1.47	2.35E-19	1.43E-16
cellular protein metabolic process (GO:0044267)	3590	569	388.89	+	1.46	1.93E-19	1.22E-16
G protein-coupled receptor signaling pathway (GO:0007186)	1305	47	141.37	-	.33	1.71E-19	1.13E-16
heterocycle metabolic process (GO:0046483)	2891	481	313.17	+	1.54	1.29E-19	9.24E-17
nucleic acid metabolic process (GO:0090304)	2217	392	240.16	+	1.63	1.30E-19	8.94E-17
positive regulation of cellular metabolic process (GO:0031325)	3314	536	359.00	+	1.49	7.74E-20	5.83E-17
sensory perception of smell (GO:0007608)	468	1	50.70	-	.02	5.36E-20	4.24E-17
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	514	338.31	+	1.52	3.19E-20	2.65E-17
nucleobase-containing compound metabolic process (GO:0006139)	2705	460	293.03	+	1.57	2.45E-20	2.15E-17
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	47.77	-	 < 0.01	2.30E-20	2.14E-17
organelle organization (GO:0006996)	3567	572	386.40	+	1.48	1.43E-20	1.41E-17
detection of chemical stimulus (GO:0009593)	522	2	56.55	-	.04	7.83E-21	8.25E-18
regulation of macromolecule metabolic process (GO:0060255)	6340	916	686.79	+	1.33	2.99E-22	3.38E-19
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	0	52.65	-	 < 0.01	2.48E-22	3.02E-19
sensory perception of chemical stimulus (GO:0007606)	543	1	58.82	-	.02	3.44E-23	4.53E-20
regulation of nitrogen compound metabolic process (GO:0051171)	5740	852	621.80	+	1.37	2.05E-23	2.94E-20
regulation of metabolic process (GO:0019222)	6874	996	744.64	+	1.34	1.48E-25	2.34E-22
regulation of primary metabolic process (GO:0080090)	5925	894	641.84	+	1.39	3.15E-27	5.53E-24
regulation of cellular metabolic process (GO:0031323)	6138	923	664.91	+	1.39	5.37E-28	1.06E-24
macromolecule metabolic process (GO:0043170)	6151	952	666.32	+	1.43	1.06E-33	2.40E-30
cellular macromolecule metabolic process (GO:0044260)	4909	805	531.78	+	1.51	1.86E-34	4.89E-31
organic substance metabolic process (GO:0071704)	7840	1153	849.29	+	1.36	4.71E-35	1.49E-31
metabolic process (GO:0008152)	8313	1212	900.52	+	1.35	2.02E-36	8.00E-33
nitrogen compound metabolic process (GO:0006807)	6886	1051	745.94	+	1.41	1.37E-36	7.23E-33
cellular metabolic process (GO:0044237)	7542	1131	817.00	+	1.38	1.09E-37	8.58E-34
primary metabolic process (GO:0044238)	7352	1112	796.42	+	1.40	3.36E-38	5.32E-34
